[2025-09-02 12:36:30.168] [REQUEST] {"timestamp":"2025-09-02 12:36:30.168","method":"GET","url":"/api/check-auth","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":401,"responseTime":"3ms","error":{"error":"Token 无效"}}
[2025-09-02 12:36:35.675] [REQUEST] {"timestamp":"2025-09-02 12:36:35.675","method":"POST","url":"/api/login","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms","body":{"username":"admin","password":"admin123"}}
[2025-09-02 12:36:35.736] [REQUEST] {"timestamp":"2025-09-02 12:36:35.736","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:36:35.738] [REQUEST] {"timestamp":"2025-09-02 12:36:35.738","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"21ms"}
[2025-09-02 12:36:35.739] [REQUEST] {"timestamp":"2025-09-02 12:36:35.739","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"16ms"}
[2025-09-02 12:36:35.743] [REQUEST] {"timestamp":"2025-09-02 12:36:35.743","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:37:05.759] [REQUEST] {"timestamp":"2025-09-02 12:37:05.759","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:37:05.760] [REQUEST] {"timestamp":"2025-09-02 12:37:05.760","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"20ms"}
[2025-09-02 12:37:05.762] [REQUEST] {"timestamp":"2025-09-02 12:37:05.762","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:37:05.767] [REQUEST] {"timestamp":"2025-09-02 12:37:05.767","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:37:35.751] [REQUEST] {"timestamp":"2025-09-02 12:37:35.751","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:37:35.753] [REQUEST] {"timestamp":"2025-09-02 12:37:35.753","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:37:35.757] [REQUEST] {"timestamp":"2025-09-02 12:37:35.757","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:37:35.761] [REQUEST] {"timestamp":"2025-09-02 12:37:35.761","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:38:05.752] [REQUEST] {"timestamp":"2025-09-02 12:38:05.752","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:38:05.754] [REQUEST] {"timestamp":"2025-09-02 12:38:05.754","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:38:05.755] [REQUEST] {"timestamp":"2025-09-02 12:38:05.755","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:38:05.758] [REQUEST] {"timestamp":"2025-09-02 12:38:05.758","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:38:35.746] [REQUEST] {"timestamp":"2025-09-02 12:38:35.746","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
